"","upc","descrip.X1","descrip.X2","descrip.X3","descrip.X4","descrip.X5","descrip.X6","price","q","sales","volsales","unit","descrip1"
"1",        294,BEER,LIMIT,BEER,LIMIT,BEER,LIMIT,0.26994327,9.284913e+03,2.463670e+03,3.296144e+06,"Oz","BEER LIMIT"
"2",        307,HEINEKEN,KINGSIZE,CA,HEINEKEN,KINGSIZE,CA,0.45596623,1.078808e+02,4.919000e+01,3.829768e+04,"Oz","HEINEKEN KINGSIZE CA"
"3",        710,BUDWEISER,BEER,BUDWEISER,BEER,BUDWEISER,BEER,0.50495952,2.159282e+02,1.079100e+02,7.665451e+04,"Oz","BUDWEISER BEER"
"4",        711,BUDWEISER,DRY,BEER,BUDWEISER,DRY,BEER,0.49974945,1.679442e+02,8.193000e+01,5.962018e+04,"Oz","BUDWEISER DRY BEER"
"5",        712,BUDWEISER,LIGHT,BEER,BUDWEISER,LIGHT,BEER,0.45806894,2.399202e+01,1.099000e+01,8.517168e+03,"Oz","BUDWEISER LIGHT BEER"
"6",        720,COORS,BEER,COORS,BEER,COORS,BEER,0.46848905,9.596809e+01,4.496000e+01,3.406867e+04,"Oz","COORS BEER"
"7",        721,COORS,EXTRA,GOLD,BEE,COORS,EXTRA,0.54143000,2.399202e+01,1.299000e+01,8.517168e+03,"Oz","COORS EXTRA GOLD BEE"
"8",        723,KEYSTONE,REGULAR,BEE,KEYSTONE,REGULAR,BEE,0.37470788,2.399202e+01,8.990000e+00,8.517168e+03,"Oz","KEYSTONE REGULAR BEE"
"9",        731,MILLER,HIGH,LIFE,PAR,MILLER,HIGH,0.43314397,2.999003e+01,1.299000e+01,1.064646e+04,"Oz","MILLER HIGH LIFE PAR"
"10",        732,MILLER,LITE,BEER,MILLER,LITE,BEER,0.45806894,2.399202e+01,1.099000e+01,8.517168e+03,"Oz","MILLER LITE BEER"
"11",        735,MILWAUKEE'S,BEST,BEE,MILWAUKEE'S,BEST,BEE,0.32781729,9.596809e+01,3.146000e+01,3.406867e+04,"Oz","MILWAUKEE'S BEST BEE"
"12",        740,OLD,MILWAUKEE,BEER,OLD,MILWAUKEE,BEER,0.39554814,2.399202e+01,9.490000e+00,8.517168e+03,"Oz","OLD MILWAUKEE BEER"
"13",        750,OLD,STYLE,BEER,OLD,STYLE,BEER,0.46185806,2.639122e+02,1.218900e+02,9.368885e+04,"Oz","OLD STYLE BEER"
"14",        757,OLD,STYLE,30PK,CANS,OLD,STYLE,0.36994347,2.189272e+03,7.496700e+02,7.771916e+05,"Oz","OLD STYLE 30PK CANS"
"15",        772,STROHS,LIGHT,BEER,STROHS,LIGHT,BEER,0.38312736,5.998006e+01,2.298000e+01,2.129292e+04,"Oz","STROHS LIGHT BEER"
"16",  245006405,TOSELLI,NON-ALCOHOLI,TOSELLI,NON-ALCOHOLI,TOSELLI,NON-ALCOHOLI,2.83526660,3.169014e+01,8.985000e+01,1.125000e+04,"ML","TOSELLI NON-ALCOHOLI"
"17",  272500010,MURPHYS,IRSH,DRAUGHT,MURPHYS,IRSH,DRAUGHT,1.41348760,1.267079e+01,1.791000e+01,4.498129e+03,"Oz","MURPHYS IRSH DRAUGHT"
"18",  272500017,MURPHYS,IRSH,AMBER,(,MURPHYS,IRSH,1.08202640,1.199601e+01,1.298000e+01,4.258584e+03,"Oz","MURPHYS IRSH AMBER ("
"19",  943922532,FULLERS,EXTRA,BEST,S,FULLERS,EXTRA,1.28103280,1.421527e+03,1.814130e+03,5.046422e+05,"Oz","FULLERS EXTRA BEST S"
"20",  948700005,AMSTEL,LIGHT,BIER,AMSTEL,LIGHT,BIER,1.10592320,1.632057e+03,1.804930e+03,5.793804e+05,"Oz","AMSTEL LIGHT BIER"
"21", 1035700155,O.B.,KOREAN,IMPORTED,O.B.,KOREAN,IMPORTED,0.83194321,1.259581e+03,1.047900e+03,4.471513e+05,"Oz","O.B. KOREAN IMPORTED"
"22", 1497450009,WOODCHUCK,DRAFT,CIDE,WOODCHUCK,DRAFT,CIDE,1.16538740,5.038325e+03,5.871600e+03,1.788605e+06,"Oz","WOODCHUCK DRAFT CIDE"
"23", 1497460009,WOODCHUCK,DARK,&,DRY,WOODCHUCK,DARK,0.99866527,1.739422e+02,1.737100e+02,6.174947e+04,"Oz","WOODCHUCK DARK & DRY"
"24", 1604110011,GRANTS,SCOTTISH,ALE,GRANTS,SCOTTISH,ALE,1.39165310,4.798404e+01,6.692000e+01,1.703434e+04,"Oz","GRANTS SCOTTISH ALE"
"25", 1820000008,BUDWEISER,BEER,N.R.B,BUDWEISER,BEER,N.R.B,0.67839032,1.248571e+05,8.441770e+04,4.432429e+07,"Oz","BUDWEISER BEER N.R.B"
"26", 1820000016,BUDWEISER,BEER,BUDWEISER,BEER,BUDWEISER,BEER,0.63250071,9.115709e+05,5.716938e+05,3.236077e+08,"Oz","BUDWEISER BEER"
"27", 1820000018,BUDWEISER,BEER,BUDWEISER,BEER,BUDWEISER,BEER,0.61563581,3.166947e+04,1.935900e+04,1.124266e+07,"Oz","BUDWEISER BEER"
"28", 1820000019,MICHELOB,REGULAR,BEE,MICHELOB,REGULAR,BEE,0.69069856,2.621128e+03,1.797630e+03,9.305006e+05,"Oz","MICHELOB REGULAR BEE"
"29", 1820000031,BUSCH,LIGHT,BEER,BUSCH,LIGHT,BEER,0.48182681,5.998005e+00,2.890000e+00,2.129292e+03,"Oz","BUSCH LIGHT BEER"
"30", 1820000051,BUSCH,BEER,BUSCH,BEER,BUSCH,BEER,0.45998940,2.566607e+05,1.148993e+05,9.111453e+07,"Oz","BUSCH BEER"
"31", 1820000106,BUDWEISER,LIGHT,BEER,BUDWEISER,LIGHT,BEER,0.63219714,2.806587e+05,1.763772e+05,9.963383e+07,"Oz","BUDWEISER LIGHT BEER"
"32", 1820000117,BUDWEISER,LIGHT,BEER,BUDWEISER,LIGHT,BEER,0.66941786,9.103640e+03,6.130270e+03,3.231792e+06,"Oz","BUDWEISER LIGHT BEER"
"33", 1820000126,BUDWEISER,BEER,N.R.B,BUDWEISER,BEER,N.R.B,0.57753026,4.828394e+03,2.817990e+03,1.714080e+06,"Oz","BUDWEISER BEER N.R.B"
"34", 1820000157,O'DOUL'S,NON-ALCH,CA,O'DOUL'S,NON-ALCH,CA,0.64952040,7.945558e+04,5.066618e+04,2.820673e+07,"Oz","O'DOUL'S NON-ALCH CA"
"35", 1820000182,MICHELOB,DRY,CANS,MICHELOB,DRY,CANS,0.68189329,1.055649e+03,7.171400e+02,3.747554e+05,"Oz","MICHELOB DRY CANS"
"36", 1820000188,BUSCH,LIGHT,BEER,BUSCH,LIGHT,BEER,0.45802721,9.089378e+04,4.074554e+04,3.226729e+07,"Oz","BUSCH LIGHT BEER"
"37", 1820000202,BUDWEISER,DRY,BEER,BUDWEISER,DRY,BEER,0.61795163,3.445254e+04,2.123320e+04,1.223065e+07,"Oz","BUDWEISER DRY BEER"
