"","X","upc","descrip","price","q","sales","volsales","unit","marca","importada","artesanal","año_fund","porc_alc","ale","lager","activa","q_grande","fund_1930"
"1",1,948700005,"AMSTEL LIGHT BIER",1.1059232,1632.0574,1804.9301,579380.3506,"Oz","AMSTEL  ",1,0,"1870",5,0,1,0,0,0
"2",3,7289010011,"AMSTEL LIGHT BEER NR",1.0468975,309539.06,317459.78,109886372.1,"Oz","AMSTEL  ",1,0,"1870",5,0,1,0,0,0
"3",4,7289010016,"AMSTEL LIGHT BEER NR",1.0074937,194527.31,185842.47,69057198.03,"Oz","AMSTEL  ",1,0,"1870",5,0,1,0,0,0
"4",30,8382007131,"BASS ALE NR BTLS",1.1785576,254303.44,290537.16,90277722.03,"Oz","BASS  ",1,0,"1777",4.4,1,0,1,0,0
"5",31,8382007331,"BASS ALE KING SIZE B",1.3754396,24430.209,31925.039,8672724.219,"Oz","BASS  ",1,0,"1777",4.4,1,0,1,0,0
"6",32,8382007531,"BASS ALE NR BTL",1.1224102,5434.1929,5985.4302,1929138.545,"Oz","BASS  ",1,0,"1777",4.4,1,0,1,0,0
"7",33,8248800009,"BECKS REGULAR BEER",1.0895649,85557.953,91658.492,30373072.64,"Oz","BECK'S  ",1,0,"1873",4.8,0,1,1,0,0
"8",34,8248812300,"BECK'S REG BEER NR B",0.95763379,506363.63,461657.72,179759088.9,"Oz","BECK'S  ",1,0,"1873",4.8,0,1,1,0,0
"9",35,8248812345,"BECK'S REG BEER NR B",0.97683167,1383368,1261322.1,491095647.4,"Oz","BECK'S  ",1,0,"1873",4.8,0,1,1,1,0
"10",36,8248812356,"BECK'S DARK BEER NR'",0.96377647,353594.41,325117.88,125526021.8,"Oz","BECK'S  ",1,0,"1873",4.8,0,1,1,0,0
"11",37,8248812400,"BECKS DARK",1.0588136,4810.4004,4748.9902,1707692.188,"Oz","BECK'S  ",1,0,"1873",4.8,0,1,1,0,0
"12",38,8248812500,"BECK'S LIGHT NR BTLS",0.89697486,3790.7395,3365.5798,1345712.541,"Oz","BECK'S  ",1,0,"1873",4.8,0,1,1,0,0
"13",39,8248812650,"BECK'S DARK BEER BAM",1.1206607,12618.555,13875.09,4479586.922,"Oz","BECK'S  ",1,0,"1873",4.8,0,1,1,0,0
"14",40,8248812830,"BECK'S LIGHT NR BTLS",0.94228923,152019.45,137658.91,53966905.62,"Oz","BECK'S  ",1,0,"1873",4.8,0,1,1,0,0
"15",41,8248812910,"BECK'S OKTOBERFEST B",1.0311761,34248.613,33554.219,12158257.27,"Oz","BECK'S  ",1,0,"1873",4.8,0,1,1,0,0
"16",42,8248812920,"BECK'S OKTOBERFEST B",1.1653874,29.990026,34.950001,10646.45996,"Oz","BECK'S  ",1,0,"1873",4.8,0,1,1,0,0
"17",75,712,"BUDWEISER LIGHT BEER",0.45806894,23.992022,10.99,8517.167969,"Oz","BUDWEISER  ",0,0,"1876",5,0,1,1,0,0
"18",79,1820000106,"BUDWEISER LIGHT BEER",0.63219714,280658.69,176377.17,99633831.09,"Oz","BUDWEISER  ",0,0,"1876",5,0,1,1,0,0
"19",80,1820000117,"BUDWEISER LIGHT BEER",0.66941786,9103.6396,6130.27,3231792.01,"Oz","BUDWEISER  ",0,0,"1876",5,0,1,1,0,0
"20",84,1820000637,"BUDWEISER LIGHT CUBE",0.47661677,263.91223,124.85,93688.84766,"Oz","BUDWEISER  ",0,0,"1876",5,0,1,1,0,0
"21",88,1820000769,"BUDWEISER LIGHT LONG",0.57026732,8565.1514,4815.9497,3040628.965,"Oz","BUDWEISER  ",0,0,"1876",5,0,1,1,0,0
"22",90,1820000773,"BUDWEISER LIGHT BEER",0.64092731,405.86502,260.12997,144082.0881,"Oz","BUDWEISER  ",0,0,"1876",5,0,1,1,0,0
"23",94,1820000830,"BUDWEISER LIGHT LONG",0.61603808,11.996011,7.3899994,4258.583984,"Oz","BUDWEISER  ",0,0,"1876",5,0,1,1,0,0
"24",95,1820000833,"BUDWEISER LIGHT LONG",0.61907113,429733.09,256296.73,152555254.4,"Oz","BUDWEISER  ",0,0,"1876",5,0,1,1,0,0
"25",97,1820000877,"BUDWEISER LIGHT NR",0.59777409,383824.38,215390.59,136257653.5,"Oz","BUDWEISER  ",0,0,"1876",5,0,1,1,0,0
"26",98,1820000885,"BUDWEISER LIGHT BEER",0.64092731,149.28369,95.679993,52995.71021,"Oz","BUDWEISER  ",0,0,"1876",5,0,1,1,0,0
"27",99,1820000902,"BUDWEISER LIGHT BEER",0.65093452,9140.9609,5933.7598,3245040.998,"Oz","BUDWEISER  ",0,0,"1876",5,0,1,1,0,0
"28",109,1820053047,"BUDWEISER LIGHT BEER",0.59171367,662383.75,380935.72,235146232.4,"Oz","BUDWEISER  ",0,0,"1876",5,0,1,1,0,0
"29",110,1820053168,"BUDWEISER LIGHT BEER",0.47562671,1878335.4,878861.13,666809082.1,"Oz","BUDWEISER  ",0,0,"1876",5,0,1,1,1,0
"30",111,1820053178,"BUDWEISER LIGHT BEER",0.47450069,2039.3219,968.15002,723959.2773,"Oz","BUDWEISER  ",0,0,"1876",5,0,1,1,0,0
"31",112,1820057920,"BUDWEISER LT DRAFT B",0.44776958,8583.3906,3840.4399,3047103.516,"GA","BUDWEISER  ",0,0,"1876",5,0,1,1,0,0
"32",153,7199000025,"COORS LIGHT BEER N.R",0.64060974,281.90625,180.63,100076.7236,"Oz","COORS  ",0,0,"1978",4.2,0,1,1,0,1
"33",155,7199000028,"COORS LIGHT BEER",0.62487662,125736.19,78011.547,44636348.06,"Oz","COORS  ",0,0,"1978",4.2,0,1,1,0,1
"34",158,7199000048,"COORS LIGHT BEER",0.55705023,731336.81,378390.78,259624573.3,"Oz","COORS  ",0,0,"1978",4.2,0,1,1,0,1
"35",164,7199030001,"COORS LIGHT BEER",0.64622825,7418.8667,4756.4702,2633697.565,"Oz","COORS  ",0,0,"1978",4.2,0,1,1,0,1
"36",165,7199030004,"COORS LIGHT BEER PAR",0.44837898,8535.0791,3814.45,3029953.012,"Oz","COORS  ",0,0,"1978",4.2,0,1,1,0,1
"37",166,7199030005,"COORS LIGHT LONGNECK",0.62584764,249607,149148.13,88610486.46,"Oz","COORS  ",0,0,"1978",4.2,0,1,1,0,1
"38",167,7199031600,"COORS LIGHT BEER",0.47291827,1265003.4,581894.44,449076199.4,"Oz","COORS  ",0,0,"1978",4.2,0,1,1,1,1
"39",168,7199036400,"COORS LIGHT BEER N.R",0.60483843,12739.764,7477.3896,4522616.193,"Oz","COORS  ",0,0,"1978",4.2,0,1,1,0,1
"40",169,7199038006,"COORS RED LIGHT LNNR",0.6652211,155.94814,103.73999,55361.5918,"Oz","COORS  ",0,0,"1978",4.2,0,1,1,0,1
"41",170,7199038011,"COORS RED LIGHT NR B",0.66605473,23.992022,15.98,8517.167969,"Oz","COORS  ",0,0,"1978",4.2,0,1,1,0,1
"42",180,8780000005,"COORS LIGHT",0.47143734,8482.1797,3922.3899,3011173.789,"Oz","COORS  ",0,0,"1978",4.2,0,1,1,0,1
"43",182,8066095603,"CORONA BIG BTL.",1.18374,7160.4526,8488.0801,2541960.645,"Oz","CORONA  ",1,0,"1926",4.5,0,0,1,0,0
"44",183,8066095605,"CORONA EXTRA BEER NR",0.96648461,1108713.4,1028249.3,393593238.1,"Oz","CORONA  ",1,0,"1926",4.5,0,0,1,1,0
"45",184,8066095615,"CORONA EXTRA BEER NR",0.94778055,466980.72,421568.94,165778157.8,"Oz","CORONA  ",1,0,"1926",4.5,0,0,1,0,0
"46",185,8066095625,"CORONA EXTRA LIGHT N",0.95597613,168639.92,156235.14,59867173.76,"Oz","CORONA  ",1,0,"1926",4.5,0,0,1,0,0
"47",207,7089701123,"FOSTERS LAGER 6PK NR",1.0185779,82832.453,82616.375,29405522.42,"Oz","FOSTER'S  ",1,0,"1889",5,0,1,1,0,0
"48",208,7089701331,"FOSTER'S LAGER",1.0792111,70772.305,76027.352,25124167.97,"Oz","FOSTER'S  ",1,0,"1889",5,0,1,1,0,0
"49",209,7089716123,"FOSTERS LAGER 6PK NR",1.0405651,587.8045,611.81995,208670.6152,"Oz","FOSTER'S  ",1,0,"1889",5,0,1,1,0,0
"50",210,7089718331,"FOSTER'S LAGER",1.120814,495.66855,548.87,175962.3331,"Oz","FOSTER'S  ",1,0,"1889",5,0,1,1,0,0
"51",211,7231113003,"FOSTER'S LAGER",1.1015949,43987.457,45961,15615547.98,"Oz","FOSTER'S  ",1,0,"1889",5,0,1,1,0,0
"52",212,7231163006,"FOSTERS LAGER 6PK NR",1.0453475,287.90427,301.11996,102206.0156,"Oz","FOSTER'S  ",1,0,"1889",5,0,1,1,0,0
"53",227,1969380011,"GUINESS STOUT GIFT B",1.2587838,2111.2979,2647.3601,749510.7632,"Oz","GUINNESS  ",1,0,"1759",4.3,0,0,1,0,0
"54",228,8328000001,"GUINESS STOUT",1.3644356,9797.334,13069.899,3478053.539,"Oz","GUINNESS  ",1,0,"1759",4.3,0,0,1,0,0
"55",230,8382012393,"GUINNESS STOUT N.R.B",1.2674755,264560.03,323556.06,93918811.28,"Oz","GUINNESS  ",1,0,"1759",4.3,0,0,1,0,0
"56",231,8382012455,"GUINESS STOUT",1.5269698,17850.322,26000.139,6336864.609,"Oz","GUINNESS  ",1,0,"1759",4.3,0,0,1,0,0
"57",247,8382023471,"HARP IRISH LAGER BTL",1.3701297,7168.8496,9617.1699,2544941.604,"Oz","HARP  ",1,1,"1960",4.5,0,1,1,0,1
"58",248,8382023473,"HARP LAGER NR BTLS",1.1211511,154856.5,167119.42,54974060.74,"Oz","HARP  ",1,1,"1960",4.5,0,1,1,0,1
"59",249,307,"HEINEKEN KINGSIZE CA",0.45596623,107.88081,49.189999,38297.68311,"Oz","HEINEKEN  ",1,0,"1873",5,0,1,1,0,0
"60",250,7289000007,"HEINEKEN KINGSIZE N.",1.1241575,88109.5,98669.219,31278873.49,"Oz","HEINEKEN  ",1,0,"1873",5,0,1,1,0,0
"61",251,7289000011,"HEINEKEN BEER N.R.BT",1.0573539,1339876.5,1358994.1,475656151.2,"Oz","HEINEKEN  ",1,0,"1873",5,0,1,1,1,0
"62",252,7289000012,"HEINEKEN DARK BEER N",1.0124905,60088.02,59036.379,21331247.19,"Oz","HEINEKEN  ",1,0,"1873",5,0,1,1,0,0
"63",253,7289000016,"HEINEKEN NR BTLS.",1.0266199,966818.5,921967.44,343220576.9,"Oz","HEINEKEN  ",1,0,"1873",5,0,1,1,0,0
"64",344,1820000884,"MICHELOB LIGHT BEER",0.64515579,119552.24,70965.844,42441048.09,"Oz","MICHELOB  ",0,0,"2002",4.2,0,1,1,0,1
"65",346,1820000956,"MICHELOB LIGHT BEER",0.66535807,246805.94,155565.39,87616107.02,"Oz","MICHELOB  ",0,0,"2002",4.2,0,1,1,0,1
"66",351,1820043218,"MICHELOB LIGHT",0.52679348,2105.3,1092.83,747381.5,"Oz","MICHELOB  ",0,0,"2002",4.2,0,1,1,0,1
"67",352,1820043273,"MICHELOB LIGHT BEER",0.49933264,59.980053,29.949999,21292.91992,"Oz","MICHELOB  ",0,0,"2002",4.2,0,1,1,0,1
"68",357,732,"MILLER LITE BEER",0.45806894,23.992022,10.99,8517.167969,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,0,1
"69",363,3410000354,"MILLER LITE BEER",0.63286161,1302167,816713.31,462269292.7,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,1,1
"70",364,3410000357,"MILLER LITE BEER",0.61262196,30861.736,18633.559,10955916.79,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,0,1
"71",365,3410000358,"MILLER LITE BEER N.R",0.67511779,14357.893,9490.0098,5097051.764,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,0,1
"72",366,3410000359,"MILLER LITE 40OZ NR",0.59716493,7054.3208,4212.23,2504283.872,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,0,1
"73",367,3410000369,"MILLER LITE 22OZ NR",0.8675611,179.60695,155.82001,63760.46704,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,0,1
"74",368,3410000382,"MILLER LITE BEER N.R",0.69234782,125803.5,86293.719,44660242.73,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,0,1
"75",400,3410057306,"MILLER LITE BEER",0.4742713,14091618,6539291.5,5002524544,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,1,1
"76",401,3410057505,"MILLER LITE LONGNECK",0.61412573,1874280.8,1082151.6,665369680.4,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,1,1
"77",402,3410057525,"MILLER LITE BEER N.R",0.62166703,792798.38,456020.56,281443428.3,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,0,1
"78",403,3410057528,"MILLER LITE BEER N.R",0.57335526,2846893.5,1544306.4,1010647153,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,1,1
"79",404,3410057579,"MILLER LITE NR BTLS",0.83277929,78293.469,64295.129,27794181.79,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,0,1
"80",405,3410057602,"MILLER LITE BEER",0.58733726,3228798.5,1812962,1146223434,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,1,1
"81",411,3410064306,"MILLER LITE ""ICE""",0.48482499,509230.66,242210.86,180776890.6,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,0,1
"82",412,3410064505,"MILLER LITE ""ICE"" L.",0.64656848,184186.75,112680.02,65386298.64,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,0,1
"83",413,3410064528,"MILLER LITE ""ICE"" N.",0.57510155,449922.41,243791.63,159722451.2,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,0,1
"84",414,3410064602,"MILLER LITE ICE",0.60847378,29438.211,17326.51,10450565.11,"Oz","MILLER  ",0,0,"2005",4.2,0,0,1,0,1
"85",428,6821302112,"MOLSON GOLDEN NR BTL",0.8586418,373783.72,293887.66,132693218.7,"Oz","MOLSON",1,0,"1786",5,0,1,1,0,0
"86",429,6821302117,"MOLSON GOLDEN N.R.'S",0.77256787,230347.41,163167.86,81773329.93,"Oz","MOLSON",1,0,"1786",5,0,1,1,0,0
"87",624,7143922033,"ROLLING ROCK KING SI",1.0345094,1785.0731,1834.76,633700.9634,"Oz","ROLLING ROCK ",0,0,"1939",4.4,0,1,1,0,1
"88",625,7143934500,"ROLLING ROCK PREM BE",0.68673182,317324.47,210681.94,112650193,"Oz","ROLLING ROCK ",0,0,"1939",4.4,0,1,1,0,1
"89",626,7143934512,"ROLLING ROCK NR",0.737315,1091.637,804.09003,387531.1445,"Oz","ROLLING ROCK ",0,0,"1939",4.4,0,1,1,0,1
"90",627,7143934806,"ROLLING ROCK PREM BE",0.70056695,98055.398,66271.57,34809665.57,"Oz","ROLLING ROCK ",0,0,"1939",4.4,0,1,1,0,1
"91",699,8066094433,"ST PAULI GIRL BIG BT",1.2137595,1680.6411,2038.62,596627.6152,"Oz","ST PAULI GIRL",1,0,"1965",0,0,1,1,0,1
"92",700,8066095935,"ST PAULI GIRL BEER N",1.0071677,205143.78,192835.05,72826044.85,"Oz","ST PAULI GIRL",1,0,"1965",0,0,1,1,0,1
"93",701,8066095937,"ST PAULI GIRL LAGER",0.94357115,34440.547,31394.279,12226394.66,"Oz","ST PAULI GIRL",1,0,"1965",0,0,1,1,0,1
"94",702,8066095945,"ST PAULI GIRL DK BEE",0.96566218,13111.64,12150.739,4654632.297,"Oz","ST PAULI GIRL",1,0,"1965",0,0,1,1,0,1
"95",703,8954031104,"ST PAULI GIRL BEER N",1.0411317,39041.02,39080.508,13859561.58,"Oz","ST PAULI GIRL",1,0,"1965",0,0,1,1,0,1
"96",704,8954031108,"ST PAULI GIRL DK BEE",1.0171263,7485.5107,7376.8896,2657356.405,"Oz","ST PAULI GIRL",1,0,"1965",0,0,1,1,0,1
"97",735,8920000826,"TECATE BEER",0.96532089,299.90027,289.5,106464.5996,"Oz","TECATE  ",1,0,"1944",4.5,0,0,1,0,1
"98",736,8928600008,"TECATE BEER",0.96532089,11.996011,11.58,4258.583984,"Oz","TECATE  ",1,0,"1944",4.5,0,0,1,0,1
"99",737,8982600009,"TECATE BEER CANS",0.91460568,37115.656,31426.408,13176058.87,"Oz","TECATE  ",1,0,"1944",4.5,0,0,1,0,1
"100",738,8982600041,"TECATE BEER",0.96397787,1025.6589,987.47998,364108.9307,"Oz","TECATE  ",1,0,"1944",4.5,0,0,1,0,1
"101",739,8982650001,"TECATE N.R. BTLS",0.88607085,45069.012,38350.98,15999500.05,"Oz","TECATE  ",1,0,"1944",4.5,0,0,1,0,1
"102",740,8982690002,"TECATE / 4 WRAPPED 6",0.59781075,10340.562,5915.9199,3670899.395,"Oz","TECATE  ",1,0,"1944",4.5,0,0,1,0,1
"103",741,8982690027,"TECATE LIGHT N.R. BT",0.80867964,695.76862,556.83997,246997.8711,"Oz","TECATE  ",1,0,"1944",4.5,0,0,1,0,1
"104",742,8982690090,"TECATE LIGHT CANS",0.92479092,419.86038,377.28,149050.4395,"Oz","TECATE  ",1,0,"1944",4.5,0,0,1,0,1
