"","upc","descrip","price","q","sales","volsales","unit","marca","importada","artesanal","ale","lager","Alcohol_volumen","Ano_fund","Sigue"
"1","948700005","AMSTEL LIGHT BIER","1.1059232","1632.0574","1804.9301","579380.3506","Oz","AMSTEL  ","1","0","no","si","5.0","1870","no"
"2","7289000059","AMSTEL BIER","0.99866527","65.978058","65.889999","23422.21191","Oz","AMSTEL  ","1","0","no","si","5.0","1870","no"
"3","7289010011","AMSTEL LIGHT BEER NR","1.0468975","309539.06","317459.78","109886372.1","Oz","AMSTEL  ","1","0","no","si","5.0","1870","no"
"4","7289010016","AMSTEL LIGHT BEER NR","1.0074937","194527.31","185842.47","69057198.03","Oz","AMSTEL  ","1","0","no","si","5.0","1870","no"
"5","7278300100","ANCHOR STEAM BEER NR","1.139625","11048.326","12503.359","3922155.854","Oz","ANCHOR  ","0","0","","","","",""
"6","7278300200","ANCHOR PORTER","1.2435384","647.78461","804.91998","229963.5352","Oz","ANCHOR  ","0","0","","","","",""
"7","7278300300","ANCHOR STEAM ALE NR","1.2066292","1139.621","1351.1","404565.4785","Oz","ANCHOR  ","0","0","","","","",""
"8","3876630214","ASAHI SUPER DRY BIG","1.2072351","379.67374","458.68997","134784.1836","Oz","ASAHI  ","1","0","","","","",""
"9","3876636120","ASAHI BEER","1.0546736","1481.5073","1558.0299","525935.1221","Oz","ASAHI  ","1","0","","","","",""
"10","5230000201","AUGSBURGER REG BEER","0.56852227","59.980053","34.099998","21292.91992","Oz","AUGSBURGER  ","0","0","","","","",""
"11","5230000207","AUGSBURGER DARK BEER","0.58640701","65.978058","38.689999","23422.21191","Oz","AUGSBURGER  ","0","0","","","","",""
"12","5230000208","AUGSBURGER REG BEER","0.61087775","186801.89","107774.72","66314669.96","Oz","AUGSBURGER  ","0","0","","","","",""
"13","5230000211","AUGSBURGER LIGHT BEE","0.58506262","2597.1365","1464.37","921983.4326","Oz","AUGSBURGER  ","0","0","","","","",""
"14","5230000214","AUGSBURGER DARK BEER","0.59949893","36251.945","20875.859","12869440.82","Oz","AUGSBURGER  ","0","0","","","","",""
"15","5230000215","AUGSBURGER BOCK BEER","0.6136933","5986.0093","3610.3999","2125033.41","Oz","AUGSBURGER  ","0","0","","","","",""
"16","5230000218","AUGSBURGER GOLDEN NR","0.66605473","47.984043","31.959999","17034.33594","Oz","AUGSBURGER  ","0","0","","","","",""
"17","5230000226","AUGSBURGER BOCK BEER","0.52072865","17.994017","9.3699999","6387.875977","Oz","AUGSBURGER  ","0","0","","","","",""
"18","5230000240","AUGSBURGER GOLDEN","0.62611324","487343.94","288264.16","173007104","Oz","AUGSBURGER  ","0","0","","","","",""
"19","5230000242","AUGSBURGER DARK BEER","0.61988938","207590.97","123070.79","73694796.04","Oz","AUGSBURGER  ","0","0","","","","",""
"20","5230000243","AUGSBURGER BOCK","0.61431485","53880.082","31915.828","19127430","Oz","AUGSBURGER  ","0","0","","","","",""
"21","5230000289","AUGSBURGER GOLDEN NR","1.013064","5.4981718","5.5700002","1951.851013","Oz","AUGSBURGER  ","0","0","","","","",""
"22","5230000349","AUGSBURGER OKTOBERFE","0.66908205","3796.7375","2506.8899","1347841.832","Oz","AUGSBURGER  ","0","0","","","","",""
"23","8417324130","AUGSBURGER REG BEER","0.6127066","75286.969","44153.867","26726873.18","Oz","AUGSBURGER  ","0","0","","","","",""
"24","8417325130","AUGSBURGER DARK BEER","0.60277337","28634.479","16397.061","10165240","Oz","AUGSBURGER  ","0","0","","","","",""
"25","8417327130","AUGSBURGER LIGHT BEE","0.58951002","19541.502","10956.72","6937233.32","Oz","AUGSBURGER  ","0","0","","","","",""
"26","9893110006","BADERBRAU BEER NR BT","0.95738101","189213.08","172548.86","67170645.27","Oz","BADERBRAU  ","0","0","","","","",""
"27","9893110007","BADERBRAU BOCK","0.96684515","11702.108","11015.33","4154248.682","Oz","BADERBRAU  ","0","0","","","","",""
"28","9893110017","BADERBRAU BOCK","0.97365701","11.996011","11.68","4258.583984","Oz","BADERBRAU  ","0","0","","","","",""
"29","2124260003","BALLARD BITTER N.R.","1.0820264","1121.627","1213.63","398177.6025","Oz","BALLARD  ","0","0","","","","",""
"30","8382007131","BASS ALE NR BTLS","1.1785576","254303.44","290537.16","90277722.03","Oz","BASS  ","1","0","","","","",""
"31","8382007331","BASS ALE KING SIZE B","1.3754396","24430.209","31925.039","8672724.219","Oz","BASS  ","1","0","","","","",""
"32","8382007531","BASS ALE NR BTL","1.1224102","5434.1929","5985.4302","1929138.545","Oz","BASS  ","1","0","","","","",""
"33","8248800009","BECKS REGULAR BEER","1.0895649","85557.953","91658.492","30373072.64","Oz","BECK'S  ","1","0","","","","",""
"34","8248812300","BECK'S REG BEER NR B","0.95763379","506363.63","461657.72","179759088.9","Oz","BECK'S  ","1","0","","","","",""
"35","8248812345","BECK'S REG BEER NR B","0.97683167","1383368","1261322.1","491095647.4","Oz","BECK'S  ","1","0","","","","",""
"36","8248812356","BECK'S DARK BEER NR'","0.96377647","353594.41","325117.88","125526021.8","Oz","BECK'S  ","1","0","","","","",""
"37","8248812400","BECKS DARK","1.0588136","4810.4004","4748.9902","1707692.188","Oz","BECK'S  ","1","0","","","","",""
"38","8248812500","BECK'S LIGHT NR BTLS","0.89697486","3790.7395","3365.5798","1345712.541","Oz","BECK'S  ","1","0","","","","",""
"39","8248812650","BECK'S DARK BEER BAM","1.1206607","12618.555","13875.09","4479586.922","Oz","BECK'S  ","1","0","","","","",""
"40","8248812830","BECK'S LIGHT NR BTLS","0.94228923","152019.45","137658.91","53966905.62","Oz","BECK'S  ","1","0","","","","",""
"41","8248812910","BECK'S OKTOBERFEST B","1.0311761","34248.613","33554.219","12158257.27","Oz","BECK'S  ","1","0","","","","",""
"42","8248812920","BECK'S OKTOBERFEST B","1.1653874","29.990026","34.950001","10646.45996","Oz","BECK'S  ","1","0","","","","",""
"43","294","BEER LIMIT","0.26994327","9284.9121","2463.6699","3296144.016","Oz","BEER LIMIT","1","1","","","","",""
"44","9067200001","BEER OF AMERICA SAMP","1.6495483","69.976738","112.93001","24841.74048","Oz","BEER OF AMERICA","0","0","","","","",""
"45","79067200001","BEER OF AMERICA SAMP","1.4956673","10796.41","15382.2","3832725.608","Oz","BEER OF AMERICA","0","0","","","","",""
"46","71969380011","BEERS OF THE WORLD G","1.26148","5358.2183","6706.3003","1902167.459","Oz","BEERS OF THE WORLD","0","1","","","","",""
"47","4052210016","BELLS PALE ALE","1.0820264","5.9980054","6.4899998","2129.291992","Oz","BELLS  ","0","0","","","","",""
"48","8417323130","BERGHOFF RED BEER","0.76210505","33858.742","23968.85","12019853.31","Oz","BERGHOFF  ","0","0","","","","",""
"49","8417324132","BERGHOFF OCTOBERFEST","0.7614032","4240.5898","3198.4299","1505409.444","Oz","BERGHOFF  ","0","0","","","","",""
"50","8417330130","BERGHOFF REGULAR BEE","0.65708512","596453.69","354465.34","211741054.8","Oz","BERGHOFF  ","0","0","","","","",""
"51","8417331130","BERGHOFF DARK BEER N","0.65442181","275764.31","165660.44","97896328.83","Oz","BERGHOFF  ","0","0","","","","",""
"52","8417332130","BERGHOFF BOCK BEER N","0.72966951","16650.463","11997.899","5910914.584","Oz","BERGHOFF  ","0","0","","","","",""
"53","2210000230","BIG BEAR MALT LIQUOR","0.42218581","3742.0889","1583.75","1328441.552","Oz","BIG BEAR","1","1","","","","",""
"54","9781644444","BIG SHOULDERS BEER","1.0820264","143.95213","155.75999","51103.00781","Oz","BIG SHOULDERS","0","0","","","","",""
"55","8739699916","BLACK DOG ALE","0.91512364","6279.9116","5642.52","2229368.718","Oz","BLACK DOG","0","0","","","","",""
"56","8739699922","BLACK DOG PALE ALE","1.1259357","775.24225","870.37","275210.9947","Oz","BLACK DOG","0","0","","","","",""
"57","8739699938","BLACK DOG HONEY RASP","0.92886299","1979.3418","1828.2","702666.3584","Oz","BLACK DOG","0","0","","","","",""
"58","2124260002","BLACKHOOK PORTER N.R","1.0820264","1529.4913","1654.95","542969.458","Oz","BLACKHOOK  ","0","0","","","","",""
"59","7199009501","BLUE MOON HONEY BLON","1.0122567","1499.5013","1513","532322.998","Oz","BLUE MOON","0","0","","","","",""
"60","7199009511","BLUE MOON BELGIAN WH","1.0293378","2531.1582","2558.77","898561.2207","Oz","BLUE MOON","0","0","","","","",""
"61","7199009521","BLUE MOON NUT BROWN","1.009241","1133.623","1136.61","402436.1865","Oz","BLUE MOON","0","0","","","","",""
"62","7199009532","BLUE MOON HARVEST PU","1.0641739","1145.619","1215.5499","406694.7705","Oz","BLUE MOON","0","0","","","","",""
"63","7199009541","BLUE MOON RASPBERRY","1.0354395","4306.5679","4449.2998","1528831.65","Oz","BLUE MOON","0","0","","","","",""
"64","7199009561","BLUE MOON ABBEY ALE","0.99866527","29.990026","29.949999","10646.45996","Oz","BLUE MOON","0","0","","","","",""
"65","78146821155","BLUE RIDGE-WHEAT","1.1468627","125.95811","144.78999","44715.13184","Oz","BLUE RIDGE","0","0","","","","",""
"66","78146839357","BLUE RIDGE AMBER LAG","1.1495091","131.95612","151.78","46844.42383","Oz","BLUE RIDGE","0","0","","","","",""
"67","78146840193","BLUE RIDGE GOLDEN AL","1.1601774","233.92221","271.60999","83042.3877","Oz","BLUE RIDGE","0","0","","","","",""
"68","8982670001","BOHEMIA N.R. BOTTLES","1.0390027","6783.7441","6913.1899","2408229.241","Oz","BOHEMIA  ","1","0","","","","",""
"69","5093961201","BOULDER PALE ALE","0.90274745","2939.0227","2617.5898","1043353.076","Oz","BOULDER  ","0","0","","","","",""
"70","5093961206","BOULDER BROWN ALE","0.87849545","1397.5353","1213.1699","496125.0342","Oz","BOULDER  ","0","0","","","","",""
"71","5093961207","BOULDER AMBER","0.89171052","2789.0725","2448.75","990120.7764","Oz","BOULDER  ","0","0","","","","",""
"72","7289000030","BUCKLER NON ALCOHOLI","0.86740398","11888.047","10122.1","4220256.732","Oz","BUCKLER  ","1","0","","","","",""
"73","710","BUDWEISER BEER","0.50495952","215.92819","107.91","76654.51172","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"74","711","BUDWEISER DRY BEER","0.49974945","167.94415","81.93","59620.17578","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"75","712","BUDWEISER LIGHT BEER","0.45806894","23.992022","10.99","8517.167969","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"76","1820000008","BUDWEISER BEER N.R.B","0.67839032","124857.15","84417.703","44324287.79","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"77","1820000016","BUDWEISER BEER","0.63250071","911570.88","571693.81","323607668.5","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"78","1820000018","BUDWEISER BEER","0.61563581","31669.469","19359","11242661.43","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"79","1820000106","BUDWEISER LIGHT BEER","0.63219714","280658.69","176377.17","99633831.09","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"80","1820000117","BUDWEISER LIGHT BEER","0.66941786","9103.6396","6130.27","3231792.01","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"81","1820000126","BUDWEISER BEER N.R.B","0.57753026","4828.394","2817.99","1714079.98","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"82","1820000202","BUDWEISER DRY BEER","0.61795163","34452.543","21233.199","12230653.2","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"83","1820000489","BUDWEISER ""ICE"" DRAF","0.66428822","8163.2856","5421.9297","2897966.402","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"84","1820000637","BUDWEISER LIGHT CUBE","0.47661677","263.91223","124.85","93688.84766","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"85","1820000644","BUDWEISER ICE DRAFT","0.59032804","163589.61","89740.258","58074309.91","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"86","1820000646","BUDWEISER ""ICE"" DRAF","0.63118345","77182.336","47539.668","27399729.42","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"87","1820000647","BUDWEISER ""ICE"" DRAF","0.62789494","10520.502","6607.73","3734778.152","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"88","1820000769","BUDWEISER LIGHT LONG","0.57026732","8565.1514","4815.9497","3040628.965","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"89","1820000771","BUDWEISER BEER LONG","0.57558775","17406.213","9874.3096","6179205.371","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"90","1820000773","BUDWEISER LIGHT BEER","0.64092731","405.86502","260.12997","144082.0881","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"91","1820000774","BUDWEISER BEER","0.63437462","10113.97","6409.9194","3590459.382","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"92","1820000780","BUDWEISER DRY LONGNE","0.60505885","85627.523","50066.539","30397772.52","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"93","1820000781","BUDWEISER DRY BEER","0.57800156","81524.891","46300.578","28941336.77","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"94","1820000830","BUDWEISER LIGHT LONG","0.61603808","11.996011","7.3899994","4258.583984","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"95","1820000833","BUDWEISER LIGHT LONG","0.61907113","429733.09","256296.73","152555254.4","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"96","1820000834","BUDWEISER BEER LONG","0.62164909","837099.63","499436.84","297170379.1","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"97","1820000877","BUDWEISER LIGHT NR","0.59777409","383824.38","215390.59","136257653.5","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"98","1820000885","BUDWEISER LIGHT BEER","0.64092731","149.28369","95.679993","52995.71021","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"99","1820000902","BUDWEISER LIGHT BEER","0.65093452","9140.9609","5933.7598","3245040.998","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"100","1820000926","BUDWEISER BEER N.R.B","0.59896785","806467.81","450085.69","286296084.9","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"101","1820000928","BUDWEISER BEER LONG","0.61187005","23.992022","14.679999","8517.167969","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"102","1820000972","BUDWEISER BEER","0.60773921","17517.508","10600.669","6218715.4","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"103","1820000997","BUDWEISER BEER N.R.B","0.64943641","25143.639","16209.939","8925992.059","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"104","1820011047","BUDWEISER BEER","0.593876","1408199.8","812002.31","499910916.8","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"105","1820011168","BUDWEISER BEER","0.47643793","4563642.5","2132987.5","1620093108","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"106","1820023920","BUDWEISER DRAFT BALL","0.44757521","11609.586","5146.8901","4121402.832","GA","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"107","1820029031","BUDWEISER DRY BEER","0.4873319","9380.8809","4531.7998","3330212.68","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"108","1820029167","BUDWEISER DRY BEER","0.46422112","193231.75","88503.828","68597270.88","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"109","1820053047","BUDWEISER LIGHT BEER","0.59171367","662383.75","380935.72","235146232.4","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"110","1820053168","BUDWEISER LIGHT BEER","0.47562671","1878335.4","878861.13","666809082.1","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"111","1820053178","BUDWEISER LIGHT BEER","0.47450069","2039.3219","968.15002","723959.2773","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"112","1820057920","BUDWEISER LT DRAFT B","0.44776958","8583.3906","3840.4399","3047103.516","GA","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"113","1820087167","BUD ICE","0.48191705","127493.6","60892.352","45260230.63","Oz","BUDWEISER  ","0","0","no","si","5.0","1876","si"
"114","1820000031","BUSCH LIGHT BEER","0.48182681","5.9980054","2.8899999","2129.291992","Oz","BUSCH  ","0","0","","","","",""
"115","1820000051","BUSCH BEER","0.4599894","256660.66","114899.26","91114533.88","Oz","BUSCH  ","0","0","","","","",""
"116","1820000188","BUSCH LIGHT BEER","0.45802721","90893.773","40745.539","32267290.89","Oz","BUSCH  ","0","0","","","","",""
"117","1820000801","BUSCH LIGHT BEER","0.44833463","58396.582","25830.16","20730786.87","Oz","BUSCH  ","0","0","","","","",""
"118","1820061047","BUSCH BEER","0.4499132","151173.73","66990.32","53666675.46","Oz","BUSCH  ","0","0","","","","",""
"119","1820061166","BUSCH BEER","0.35081553","26007.352","9007.2402","9232610.117","Oz","BUSCH  ","0","0","","","","",""
"120","1820061168","BUSCH BEER","0.35071188","1397967.1","478421.97","496278344.5","Oz","BUSCH  ","0","0","","","","",""
"121","1820086167","BUSCH LIGHT BEER","0.35039827","801237.56","274451.53","284439342.2","Oz","BUSCH  ","0","0","","","","",""
"122","7272001431","CARLINGS BLK LABEL R","0.42185366","17472.189","7334.6699","6202627.587","Oz","CARLINGS  ","1","0","","","","",""
"123","7272001435","CARLINGS BLK LABEL R","0.37261227","1295.5692","475.03","459927.0703","Oz","CARLINGS  ","1","0","","","","",""
"124","7336039751","CARLINGS BLK LABEL R","0.4318102","773.74274","334.10999","274678.667","Oz","CARLINGS  ","1","0","","","","",""
"125","7336088301","CARLINGS BLK LABEL L","0.37470788","47.984043","17.98","17034.33594","Oz","CARLINGS  ","1","0","","","","",""
