Fecha;Últ precio;Volumen;;;;;;
22/04/2021;125,5;2209010;;;;;;
21/04/2021;123,91;1329363;;;;;;
20/04/2021;122,22;2328494;;;;;;
19/04/2021;125,93;1451298;;;;;;
16/04/2021;128,05;1721346;;;;;;
15/04/2021;127,28;1192950;;;;;;
14/04/2021;126,52;2461364;;;;;;
13/04/2021;126,11;3377733;;;;;;
12/04/2021;125,28;2057807;;;;;;
9/04/2021;124,35;921479;;;;;;
8/04/2021;124,75;1847136;;;;;;
7/04/2021;124,52;1803966;;;;;;
6/04/2021;126,66;1719487;;;;;;
5/04/2021;125,4;2261167;;;;;;
1/04/2021;121,65;1697147;;;;;;
31/03/2021;120,92;2031612;;;;;;
30/03/2021;122,06;2548865;;;;;;
29/03/2021;119,05;2135381;;;;;;
26/03/2021;121,12;2149840;;;;;;
25/03/2021;120,4;2680808;;;;;;
24/03/2021;118,5;2034971;;;;;;
23/03/2021;118,9;2659110;;;;;;
22/03/2021;122,92;2031162;;;;;;
19/03/2021;124,39;2810774;;;;;;
18/03/2021;125,64;2598720;;;;;;
17/03/2021;127,14;3831734;;;;;;
16/03/2021;123,96;1819391;;;;;;
15/03/2021;127,26;1774269;;;;;;
12/03/2021;126,1;1588796;;;;;;
11/03/2021;124,66;1711218;;;;;;
10/03/2021;124,51;1846727;;;;;;
9/03/2021;124,12;2560482;;;;;;
8/03/2021;125,41;2573364;;;;;;
5/03/2021;122,87;3696565;;;;;;
4/03/2021;120,72;3555491;;;;;;
3/03/2021;123,13;2108262;;;;;;
2/03/2021;124,25;3325616;;;;;;
1/03/2021;123,76;2614949;;;;;;
26/02/2021;123,68;3615542;;;;;;
25/02/2021;122,98;5263146;;;;;;
24/02/2021;127,26;4486156;;;;;;
23/02/2021;121,95;3703348;;;;;;
22/02/2021;119,96;4374221;;;;;;
19/02/2021;116,91;3463255;;;;;;
18/02/2021;114,12;2696154;;;;;;
17/02/2021;111,43;3816245;;;;;;
16/02/2021;113,61;2927797;;;;;;
12/02/2021;112,14;2128262;;;;;;
11/02/2021;109,5;1792234;;;;;;
10/02/2021;109,34;2750655;;;;;;
9/02/2021;110,35;1590547;;;;;;
8/02/2021;112,32;2061148;;;;;;
5/02/2021;111,67;2280088;;;;;;
4/02/2021;110,52;2091619;;;;;;
3/02/2021;106,6;2373621;;;;;;
2/02/2021;105,79;2556287;;;;;;
1/02/2021;101,92;2861107;;;;;;
29/01/2021;101,39;4844118;;;;;;
28/01/2021;104;6544179;;;;;;
27/01/2021;98,67;4592584;;;;;;
26/01/2021;104,67;2800946;;;;;;
25/01/2021;105,12;5310212;;;;;;
22/01/2021;104,96;2894067;;;;;;
21/01/2021;108,82;1799707;;;;;;
20/01/2021;107,7;2771536;;;;;;
19/01/2021;107,93;1839560;;;;;;
15/01/2021;108,41;2169431;;;;;;
14/01/2021;112,11;2360580;;;;;;
13/01/2021;111,87;2041840;;;;;;
12/01/2021;112,33;1811628;;;;;;
11/01/2021;113,18;1527641;;;;;;
8/01/2021;114,16;4065115;;;;;;
7/01/2021;113,29;2640415;;;;;;
6/01/2021;110,77;1868172;;;;;;
5/01/2021;107,95;2564180;;;;;;
4/01/2021;107,46;2759313;;;;;;
31/12/2020;111,26;1571502;;;;;;
30/12/2020;110,18;1405157;;;;;;
29/12/2020;107,95;1428001;;;;;;
28/12/2020;107,38;1575159;;;;;;
24/12/2020;106,89;822378;;;;;;
23/12/2020;106,51;2196356;;;;;;
22/12/2020;102,95;2393209;;;;;;
21/12/2020;103,99;3331310;;;;;;
18/12/2020;104,61;5231831;;;;;;
17/12/2020;104,7;2410709;;;;;;
16/12/2020;104,41;1956111;;;;;;
15/12/2020;104,97;1923449;;;;;;
14/12/2020;103,04;2034861;;;;;;
11/12/2020;104,74;2302741;;;;;;
10/12/2020;107,36;2360118;;;;;;
9/12/2020;106,7;2165248;;;;;;
8/12/2020;109,05;1838455;;;;;;
7/12/2020;109,83;1622628;;;;;;
4/12/2020;110,85;1261749;;;;;;
3/12/2020;109,16;3119179;;;;;;
2/12/2020;106,75;2069214;;;;;;
1/12/2020;104,84;1946709;;;;;;
30/11/2020;103,63;2952870;;;;;;
27/11/2020;104,41;1008660;;;;;;
25/11/2020;106,3;1847299;;;;;;
24/11/2020;108,94;2827058;;;;;;
23/11/2020;105,05;3428477;;;;;;
20/11/2020;101,76;2302673;;;;;;
19/11/2020;102,8;3283998;;;;;;
18/11/2020;103,35;1901575;;;;;;
17/11/2020;103,34;2732885;;;;;;
