upc,descrip,price,q,sales,volsales,unit,descrip1,descrip2,descrip3,descrip4,descrip5,descrip6
294,BEER LIMIT,.26994327,9284.9121,2463.6699,3296144.016,Oz,BEER,LIMIT,,,,
307,HEINEKEN KINGSIZE CA,.45596623,107.88081,49.189999,38297.68311,Oz,HEINEKEN,KINGSIZE,CA,,,
710,BUDWEISER BEER,.50495952,215.92819,107.91,76654.51171999999,Oz,BUDWEISER,BEER,,,,
711,BUDWEISER DRY BEER,.49974945,167.94415,81.93,59620.17578,Oz,BUDWEISER,DRY,BEER,,,
712,BUDWEISER LIGHT BEER,.45806894,23.992022,10.99,8517.167969,Oz,BUDWEISER,LIGHT,BEER,,,
720,COORS BEER,.46848905,95.968086,44.959999,34068.67188,Oz,COORS,BEER,,,,
721,COORS EXTRA GOLD BEE,.54143,23.992022,12.99,8517.167969,Oz,COORS,EXTRA,GOLD,BEE,,
723,KEYSTONE REGULAR BEE,.37470788,23.992022,8.9899998,8517.167969,Oz,KEYSTONE,REGULAR,BEE,,,
731,MILLER HIGH LIFE PAR,.43314397,29.990028,12.99,10646.45996,Oz,MILLER,HIGH,LIFE,PAR,,
732,MILLER LITE BEER,.45806894,23.992022,10.99,8517.167969,Oz,MILLER,LITE,BEER,,,
735,MILWAUKEE'S BEST BEE,.32781729,95.968086,31.459999,34068.67188,Oz,MILWAUKEE'S,BEST,BEE,,,
740,OLD MILWAUKEE BEER,.39554814,23.992022,9.4899998,8517.167969,Oz,OLD,MILWAUKEE,BEER,,,
750,OLD STYLE BEER,.46185806,263.91223,121.89,93688.84766,Oz,OLD,STYLE,BEER,,,
757,OLD STYLE 30PK CANS,.36994347,2189.2722,749.66998,777191.5820000001,Oz,OLD,STYLE,30PK,CANS,,
772,STROHS LIGHT BEER,.38312736,59.980057,22.980001,21292.91992,Oz,STROHS,LIGHT,BEER,,,
245006405,TOSELLI NON-ALCOHOLI,2.8352666,31.69014,89.849998,11250,ML,TOSELLI,NON-ALCOHOLI,,,,
272500010,MURPHYS IRSH DRAUGHT,1.4134876,12.670787,17.91,4498.129303,Oz,MURPHYS,IRSH,DRAUGHT,,,
272500017,MURPHYS IRSH AMBER (,1.0820264,11.996011,12.98,4258.583984,Oz,MURPHYS,IRSH,AMBER,(,,
943922532,FULLERS EXTRA BEST S,1.2810328,1421.5273,1814.13,504642.2021,Oz,FULLERS,EXTRA,BEST,S,,
948700005,AMSTEL LIGHT BIER,1.1059232,1632.0574,1804.9301,579380.3506,Oz,AMSTEL,LIGHT,BIER,,,
1035700155,O.B. KOREAN IMPORTED,.83194321,1259.5812,1047.9,447151.3193,Oz,O.B.,KOREAN,IMPORTED,,,
1497450009,WOODCHUCK DRAFT CIDE,1.1653874,5038.3247,5871.5996,1788605.273,Oz,WOODCHUCK,DRAFT,CIDE,,,
1497460009,WOODCHUCK DARK & DRY,.99866527,173.94215,173.70999,61749.46777,Oz,WOODCHUCK,DARK,&,DRY,,
1604110011,GRANTS SCOTTISH ALE,1.3916531,47.984043,66.919998,17034.33594,Oz,GRANTS,SCOTTISH,ALE,,,
1820000008,BUDWEISER BEER N.R.B,.67839032,124857.15,84417.703,44324287.79,Oz,BUDWEISER,BEER,N.R.B,,,
